id,name,slug,imageUrl,description,price,stock,categoryId,brandId,isActive,createdAt,teaser
1,LifeStraw Personal Filter,lifestraw-personal-filter,/images/products/lifestraw-personal-filter.png,"<p><strong>LifeStraw Personal Filter</strong> er et ultralet sugerørsfilter, som giver dig rent drikkevand direkte fra kilde, sø eller vanddunk. Det kræver ingen batterier og ingen bevægelige dele, hvilket gør det ideelt som nødløsning i rygsækken, bilen eller EDC-kittet.</p><p>Filteret er hurtigt at bruge: drik direkte gennem sugerøret, eller kombiner det med en flaske eller vandpose. Perfekt til vandreture, festivaler og beredskab.</p><ul><li>Værktøjsfrit – drik direkte gennem filteret</li><li>Lav vægt og kompakt formfaktor</li><li>Nem at rengøre og opbevare efter brug</li></ul>",199,120,1,1,true,2025-09-01,"Ultralet sugerørsfilter til rent drikkevand i nødsituationer."
2,LifeStraw Family 1.0,lifestraw-family-1-0,/images/products/lifestraw-family-10.png,"<p><strong>LifeStraw Family 1.0</strong> er et gravitationsdrevet filtersystem til husholdning og lejr. Hæng reservoiret op, fyld det med råt vand og lad tyngdekraften levere rent vand til madlavning og drikke—uden strøm og uden pumper.</p><p>Enheden er designet til enkel vedligeholdelse, så den kan bruges dag efter dag under krisesituationer eller længere ture.</p><ul><li>Høj kapacitet pr. dag og lavt vedligehold</li><li>Slanger og tap for let dosering</li><li>Velegnet til basecamp og familieberedskab</li></ul>",899,35,1,1,true,2025-09-02,"Gravitationsfilter til familien; leverer rent vand uden strøm."
3,MSR Dromedary 10L,msr-dromedary-10l,/images/products/msr-dromedary-10l.png,"<p><strong>MSR Dromedary 10L</strong> er en ekstremt robust vandblære, syet i slidstærke materialer til barske forhold. Den flade profil gør den nem at pakke, og de forstærkede ophængspunkter gør det let at hænge den op i lejr.</p><p>Kombinér den med et vandfilter eller brug den som buffertank ved madlavning og opvask.</p><ul><li>10 liters kapacitet – rigeligt til lejr</li><li>Kompatibel med de fleste filtrer og slanger</li><li>Tåler daglig brug og ru terræn</li></ul>",649,22,1,5,true,2025-09-03,"Robust 10L vandblære til transport og opbevaring i lejr."
4,MSR Aquatabs 100,msr-aquatabs-100,/images/products/msr-aquatabs-100.png,"<p><strong>MSR Aquatabs 100</strong> er vandrensningstabletter til hurtig og nem desinfektion. Opbevar en pakke i IFAK’en, bilen eller rygsækken som backup, når kogning eller filtrering ikke er muligt.</p><p>Tabletterne doseres let efter liter og leveres i blisterpakker, der holder i lang tid.</p><ul><li>Hurtig desinfektion på farten</li><li>Kompakt og let – høj værdi pr. gram</li><li>Velegnet som sekundært lag i dit vand-setup</li></ul>",89,200,1,5,true,2025-09-04,"Vandrensningstabletter til hurtig desinfektion på farten."
5,Freeze Dried Meal 7-Pack,freeze-dried-meal-7-pack,/images/products/freeze-dried-meal-7-pack.png,"<p><strong>Freeze Dried Meal 7-Pack</strong> samler syv komplette frysetørrede måltider, så du kan dække en hel uge. Tilføj blot kogende vand direkte i posen, rør rundt og spis—ingen gryder, ingen opvask.</p><p>Perfekt til kriselager, vandreture og situationer hvor vægt, plads og tid er knappe.</p><ul><li>Lang holdbarhed og lav vægt</li><li>Spises direkte fra posen</li><li>Varierede menuer for bedre moral</li></ul>",499,60,2,3,true,2025-09-05,"Syv frysetørrede måltider; tilsæt kogende vand og spis."
6,Long Term Food Bucket,long-term-food-bucket,/images/products/long-term-food-bucket.png,"<p><strong>Long Term Food Bucket</strong> er en stor spand med basisråvarer pakket til langtidsopbevaring. Iltabsorbere og lufttæt låg hjælper med at bevare næring og smag i mange år.</p><p>Spanden er let at stable og transportere, og indholdet kan portioneres efter behov.</p><ul><li>Ideel til hjemmets beredskab</li><li>Tæt låg og robust håndtag</li><li>Kompatibel med Mylar-poser for ekstra beskyttelse</li></ul>",1299,18,2,2,true,2025-09-06,"Langtidsholdbar fødevarepakke i stabelbar spand."
7,Vacuum Sealer Kit,vacuum-sealer-kit,/images/products/vacuum-sealer-kit.png,"<p><strong>Vacuum Sealer Kit</strong> forlænger fødevarers holdbarhed ved at fjerne luft og forsegle i stærke poser. Brug det til kød, tørvarer, krydderier—eller til at holde udstyr tørt og organiseret.</p><p>Sættet leveres med poser og adapter, så du er i gang på få minutter.</p><ul><li>Reducerer madspild og beskytter mod fugt</li><li>Kompakte pakker – sparer plads i spand og fryser</li><li>Fleksibel brug: mad, medicin og gear</li></ul>",699,12,2,3,false,2025-09-07,"Vakuumpakning forlænger holdbarhed og beskytter mad og udstyr."
8,Mylar Bags 5mil 50pk,mylar-bags-5mil-50pk,/images/products/mylar-bags-5mil-50pk.png,"<p><strong>Mylar Bags 5mil (50 pk)</strong> giver en stærk barriere mod lys, ilt og fugt. Perfekt til langtidsopbevaring af ris, bønner, mel og andre basisvarer.</p><p>Varmeforsegl poserne og tilføj iltabsorbere for maksimal holdbarhed.</p><ul><li>5 mil tykkelse – ekstra robust</li><li>Uigennemsigtige poser beskytter mod lys</li><li>Let at mærke og stable i spande</li></ul>",179,150,2,5,true,2025-09-08,"5 mil Mylar-poser til langtidsopbevaring med iltabsorbere."
9,Goal Zero Yeti 500X,goal-zero-yeti-500x,/images/products/goal-zero-yeti-500x.png,"<p><strong>Goal Zero Yeti 500X</strong> er en bærbar powerstation, der kan drive små apparater, oplade laptops og telefoner og fungere som husstandens nødstrøm. Den har både AC, 12V og moderne USB-C.</p><p>Oplad via net, bil eller solpaneler for fuld fleksibilitet.</p><ul><li>Stille drift – ingen udstødning</li><li>Klar skærm med status for input/output</li><li>Perfekt sammen med Nomad-seriens paneler</li></ul>",4999,7,3,2,true,2025-09-09,"Bærbar powerstation med AC og USB til nødstrøm."
10,Nomad 100 Solar Panel,nomad-100-solar-panel,/images/products/nomad-100-solar-panel.png,"<p><strong>Nomad 100</strong> er et sammenklappeligt 100W solpanel bygget til feltbrug. De forstærkede øjer gør opsætning på telt, hegn eller tag let og hurtigt.</p><p>Kombinér med en powerstation for at holde elektronik i gang off-grid.</p><ul><li>Foldbart design – rejseklar på sekunder</li><li>Holdbare tekstiler og laminerede celler</li><li>Kompatibel med mange ladekabler og regulatorer</li></ul>",2299,10,3,2,true,2025-09-10,"Sammenklappeligt 100W solpanel til opladning off-grid."
